"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
2182,2182,430155,Coma,2019-11-19,"['Science Fiction', 'Adventure', 'Action']",Russian,6.4,451,30.360,A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients....,4000000,"['Fresh Film', 'Cinema Fund', 'Mars Media Entertainment', 'Big Cinema House', 'Fond kino', 'Argunov Studio', 'Central Partnership']",2363584,110,Wake up to save everyone,-1636416
2183,2183,10137,Stuart Little,1999-12-17,"['Family', 'Fantasy', 'Comedy', 'Adventure']",English,6.0,3963,30.356,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human...",133000000,"['Franklin/Waterman Productions', 'Columbia Pictures', 'Global Medien KG', 'Red Wagon Entertainment']",300135367,84,The Little family just got bigger.,167135367
2184,2184,27581,The Other Guys,2010-08-06,"['Action', 'Comedy', 'Crime']",English,6.3,3737,30.353,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the ...",100000000,"['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group']",170432927,107,When the cops are busy... Our only hope is...,70432927
2187,2187,522162,Midway,2019-11-06,"['Action', 'Drama', 'War', 'History', 'Adventure']",English,7.1,2178,30.349,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",100000000,"['AGC Studios', 'Centropolis Entertainment', 'Street Entertainment', 'Lionsgate', 'Summit Entertainment', 'RuYi Media', 'The Mark Gordon Company', 'Entertainment One', 'Bona Film Group', 'Starligh...",127420861,138,One battle turned the tide of war,27420861
2191,2191,82633,Lawless,2012-08-29,"['Crime', 'Drama', 'Western']",English,7.0,2779,30.317,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the op...",26000000,"['The Weinstein Company', 'Benaroya Pictures', 'Yucaipa Films', 'Annapurna Pictures', 'Pie Films Inc.', 'Red Wagon Entertainment', 'Revolt Films', 'Blum Hanson Allen Films']",53676580,115,"When the law became corrupt, outlaws became heroes.",27676580
2193,2193,535845,Brian Banks,2019-08-09,['Drama'],English,7.3,179,30.303,An All-American football player's dreams to play in the NFL are halted when he is falsely accused of rape and sent to prison.,10000000,"['ShivHans Pictures', 'Gidden Media']",4300000,99,Falsely accused. Wrongfully convicted. Never defeated.,-5700000
2194,2194,1498,Teenage Mutant Ninja Turtles,1990-03-30,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",English,6.6,1494,30.301,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",13500000,"['New Line Cinema', 'Orange Sky Golden Harvest', 'Mirage Studios']",201965915,93,"Hey dude, this is NO cartoon.",188465915
2195,2195,9335,Transporter 2,2005-08-03,"['Action', 'Thriller', 'Crime']",English,6.3,3183,30.298,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy i...",32000000,"['TPS Star', 'EuropaCorp', 'Current Entertainment', 'Sea Side Films Florida Inc.', 'Canal+', 'TF1 Films Production']",89083229,87,The Best In The Business Is Back In The Game.,57083229
2197,2197,1830,Lord of War,2005-09-16,"['Crime', 'Drama', 'Thriller']",English,7.3,4153,30.225,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his...",50000000,"['Endgame Entertainment', 'Entertainment Manufacturing Company', 'Ascendant Pictures', 'Saturn Films', 'Rising Star', 'Copag V', 'VIP Medienfonds 3', 'Majority Entertainment', 'Metro-Goldwyn-Mayer']",72617068,122,"Where there's a will, there's a weapon",22617068
2199,2199,54138,Star Trek Into Darkness,2013-05-05,"['Action', 'Adventure', 'Science Fiction']",English,7.3,8449,30.222,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our w...",190000000,"['Bad Robot', 'Paramount', 'Skydance']",467365246,132,Earth Will Fall,277365246
2200,2200,23629,Sucker Punch,2011-03-24,"['Action', 'Fantasy', 'Thriller']",English,6.2,4322,30.220,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",82000000,"['Legendary Pictures', 'Lennox House Films', 'Warner Bros. Pictures', 'Cruel & Unusual Films']",89792502,110,You will be unprepared.,7792502
2202,2202,10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-11-01,['Horror'],English,5.8,1593,30.206,"Jesse Walsh moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster Freddy Krueger. There, Jesse is bedeviled by nightmares and inexplicably vio...",3000000,"['New Line Cinema', 'Smart Egg Pictures', 'Heron Communications', 'Media Home Entertainment']",30000000,87,The man of your dreams is back!,27000000
2203,2203,120467,The Grand Budapest Hotel,2014-02-26,"['Comedy', 'Drama']",English,8.1,13460,30.195,The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the...,30000000,"['Fox Searchlight Pictures', 'Scott Rudin Productions', 'Studio Babelsberg', 'Indian Paintbrush', 'TSG Entertainment', 'American Empirical Pictures']",174600318,100,A murder case of Madam D. With enormous wealth and the most outrageous events surrounding her sudden death!,144600318
2204,2204,1885,The Karate Kid,1984-06-22,"['Action', 'Family', 'Drama']",English,7.2,3681,30.186,"Daniel, a fatherless teenager, arrives in Los Angeles and becomes the object of bullying by a gang of karate students when he strikes up a relationship with Ali, the gang leader’s ex-girlfriend, s...",8000000,"['Columbia Pictures', 'Delphi II Productions', 'Jerry Weintraub Productions']",130442786,126,Only the 'Old One' could teach him the secrets of the masters.,122442786
2205,2205,187017,22 Jump Street,2014-06-05,"['Crime', 'Comedy', 'Action']",English,6.8,7324,30.184,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit o...",50000000,"['Columbia Pictures', 'Original Film', 'MRC', 'LStar Capital', 'Metro-Goldwyn-Mayer', 'Stephen J. Cannell Productions', '75 Year Plan Productions', 'Storyville Films', 'JHF Productions']",331333876,112,They're not 21 anymore,281333876
2206,2206,581392,Peninsula,2020-07-15,"['Horror', 'Adventure', 'Action', 'Thriller']",Korean,6.8,2115,30.180,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,17000000,"['Next Entertainment World', 'RedPeter Film', 'Vantage Holdings', 'Contents Panda']",42698327,115,Escape the apocalypse.,25698327
2207,2207,11917,Saw V,2008-10-23,"['Horror', 'Thriller', 'Crime']",English,6.2,2998,30.173,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.",10800000,"['Twisted Pictures', 'Mandate Pictures']",113864059,92,You won't believe how it ends.,103064059
2210,2210,211672,Minions,2015-06-17,"['Family', 'Animation', 'Adventure', 'Comedy']",English,6.4,9841,30.152,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",74000000,"['Illumination', 'Universal Pictures']",1156730962,91,"Before Gru, they had a history of bad bosses",1082730962
2217,2217,802,Lolita,1962-06-13,"['Drama', 'Comedy', 'Romance']",English,7.4,1798,30.089,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he ...",2000000,"['Seven Arts Productions', 'Transworld Pictures', 'Metro-Goldwyn-Mayer British Studios']",9250000,154,How did they ever make a movie of ...,7250000
2218,2218,9603,Clueless,1995-07-19,"['Comedy', 'Romance']",English,7.3,3896,30.056,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Em...",12000000,['Paramount'],56631572,97,Sex. Clothes. Popularity. Is there a problem here?,44631572
2219,2219,511987,Crawl,2019-07-11,"['Thriller', 'Horror', 'Action']",English,6.3,2753,30.050,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time t...",13500000,"['Raimi Productions', 'Fire Axe Pictures', 'Serbia Creates Film', 'Ontario Creates']",91542097,88,They were here first,78042097
2220,2220,313297,Kubo and the Two Strings,2016-08-18,"['Animation', 'Adventure', 'Family']",English,7.6,3295,30.042,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest...",60000000,"['Laika Entertainment', 'Focus Features']",76249438,102,The quest begins,16249438
2221,2221,43949,Flipped,2010-08-06,"['Romance', 'Drama']",English,8.0,2589,30.021,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",14000000,['Reiner / Greisman Productions'],1755212,89,You never forget your first love.,-12244788
2222,2222,9072,Little Man,2006-08-31,"['Comedy', 'Crime']",English,5.9,1499,30.020,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and...",64000000,"['Wayans Bros. Entertainment', 'Revolution Studios']",101595121,98,Big things come in small packages,37595121
2223,2223,354556,Guardians,2017-02-14,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction', 'Thriller']",Russian,4.9,677,30.018,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in ha...",5400000,"['Renovatio Entertainment', 'Enjoy Movies', 'Big Cinema House']",4803565,100,Squad of Soviet Superheroes,-596435
